sector,role,tag,label,form,share_of_basis,cost_inr_per_t,basis,source,confidence
Ceramics,emit,ceramic_sludge,ETP ceramic sludge,solid,0.40,1400,total_waste_tpy,"Ceramic ETP sludge (glaze/frit residue, clay fines from wastewater treatment) — documented cleaner-production audit norms, not a single cited table",medium
Ceramics,emit,polishing_sludge,Cutting & polishing sludge,solid,0.20,1100,total_waste_tpy,"A real, distinct category from ETP sludge: ceramic-tile cutting/grinding/polishing generates its own sludge stream (crushing, cutting, polishing, and water-filtration sludge are documented as separate categories in ceramic-tile waste-recycling literature, e.g. Eco-Compatible Construction Materials Containing Ceramic Sludge and Packaging Glass Cullet, Applied Sciences 2021) — previously folded into ceramic_sludge, split out here since it has a different composition (abrasive fines vs. glaze/frit residue) and reuse path (aggregate/construction-material feedstock vs. body filler)",medium
Ceramics,emit,kiln_waste_heat,Kiln cooling-zone hot air,heat,0.0,0,total_waste_tpy,"Zero-tonnage sentinel entry — heat is not a tonnage waste stream but is a real candidate for heat-recovery symbiosis (see interventions.json kiln-whr); kept for matcher completeness",medium
Ceramics,accept,fly_ash,Fly ash (body filler),solid,0.15,2200,output_tonnes_per_year,"Fly ash substitutes a share of virgin clay/filler in tile bodies — standard cleaner-production practice; max accepted tonnage sized as a fraction of the factory's own annual output",medium
Chemicals,emit,spent_solvent,Spent solvent (mixed),liquid,0.35,9000,total_waste_tpy,"Spent solvent is the characteristic hazardous liquid waste for dyes/specialty-chemical units — documented cleaner-production audit norms",medium
Chemicals,emit,spent_catalyst,Spent catalyst,solid,0.06,15000,total_waste_tpy,"Spent catalysts (from hydrogenation/hydroprocessing and similar reactions common in specialty-chemical manufacturing) are a real, hazardous, well-documented waste category distinct from spent solvent — residual metal/oil content makes them a recovery-still/metal-reclaim candidate rather than plain disposal (see e.g. Recovery of valuable metals from spent hydrodesulfurization catalysts, ScienceDirect; Recycling and Recovery Routes for Spent Hydroprocessing Catalyst Waste, Ind. Eng. Chem. Res.) — share_of_basis and cost are an illustrative modelling estimate consistent with the file's existing convention, not an individually cited ratio",medium
Chemicals,emit,fly_ash,Fly ash (boiler by-product),solid,0.20,0,total_waste_tpy,"Coal-fired boilers (see PROCESS_FUEL_MIX in generate_synthetic.py) produce fly ash as a real by-product; modelled as a candidate symbiosis output to Ceramics, not a hazardous-waste-inventory line item",medium
Chemicals,emit,process_waste_heat,Low-pressure exhaust steam,heat,0.0,0,total_waste_tpy,"Zero-tonnage sentinel entry for heat-recovery/steam-reuse symbiosis candidates",medium
Chemicals,accept,spent_solvent,Solvent for recovery still,liquid,0.10,62000,output_tonnes_per_year,"A specialty-chemical unit with a recovery still can accept another unit's spent solvent of a compatible type — documented cleaner-production audit norms",medium
Textiles,emit,textile_sludge,ETP textile sludge (bio),solid,0.35,2100,total_waste_tpy,"Biological ETP sludge (dye/fibre residue) is the characteristic solid waste for dyeing/processing houses — documented cleaner-production audit norms",medium
Textiles,emit,lime_salt_sludge,ETP lime/salt sludge,solid,0.12,1600,total_waste_tpy,"A real, chemically distinct ETP sludge sub-category from bio sludge — lime and salt (Glauber's salt/sodium sulphate) sludge from softening and reverse-osmosis reject in textile wet-processing effluent treatment, per textile-sludge-management literature (e.g. 'Sustainable approaches in textile dyeing sludge management', Indian Journal of Chemical Technology) — treated separately since it has a different disposal/reuse path (construction-material feedstock) than bio sludge (landfill/co-processing)",medium
Textiles,emit,cotton_waste,Fibre / cutting waste,solid,0.15,800,total_waste_tpy,"Cutting-room and processing fibre waste — documented cleaner-production audit norms",medium
Textiles,accept,cotton_waste,Recycled fibre feed,solid,0.08,5800,output_tonnes_per_year,"Processing houses can blend in recycled fibre feed from another unit's cutting waste — documented cleaner-production audit norms",medium
Engineering,emit,foundry_slag,Furnace slag,solid,0.35,1100,total_waste_tpy,"Furnace slag is the characteristic solid waste for foundry/induction-melt units — documented cleaner-production audit norms",medium
Engineering,emit,foundry_sand,Spent moulding sand,solid,0.30,900,total_waste_tpy,"Spent moulding sand from casting operations — documented cleaner-production audit norms",medium
Engineering,emit,baghouse_dust,Baghouse / grinding dust,solid,0.08,700,total_waste_tpy,"A real, distinct foundry waste category from slag/sand — fine particulate captured by baghouse/dust-collection systems during melting and grinding operations, per foundry waste-classification literature (e.g. American Foundry Society 'Recycling and Beneficial Use of Foundry Byproducts'; IDEM Foundry Waste Classification Guidelines) — often containing recoverable metal fines, a different reuse path from bulk slag/sand",medium
